position #,Time [UTC],Time [LMT],Longitude [deg],Latitude [deg],Altitude [m],Status,Main [V],Beacon [V],Temperature [ÁC]
7660,2/3/19 9:02,2/3/19 3:02,99.37239,15.50644,237,val. GPS-3D,3.28,3.6,35
7657,2/3/19 3:00,2/2/19 21:00,99.37536,15.50819,236,val. GPS-3D,3.28,3.6,31
7656,2/3/19 1:00,2/2/19 19:00,99.37529,15.50808,229,val. GPS-3D,3.28,3.6,22
7655,2/2/19 23:00,2/2/19 17:00,99.37539,15.50794,256,val. GPS-3D,3.28,3.6,26
7654,2/2/19 21:00,2/2/19 15:00,99.37536,15.50802,206,val. GPS-3D,3.28,3.6,26
7653,2/2/19 19:00,2/2/19 13:00,99.37528,15.50786,218,val. GPS-3D,3.28,3.6,27
7652,2/2/19 17:00,2/2/19 11:00,99.37527,15.50801,292,val. GPS-3D,3.28,3.6,26
7651,2/2/19 15:00,2/2/19 9:00,99.37528,15.50802,231,val. GPS-3D,3.28,3.6,26
7650,2/2/19 13:00,2/2/19 7:00,99.37488,15.5083,208,val. GPS-3D,3.28,3.6,30
7649,2/2/19 11:00,2/2/19 5:00,99.37496,15.50805,224,val. GPS-3D,3.28,3.6,31
7648,2/2/19 9:00,2/2/19 3:00,99.37535,15.5082,232,val. GPS-3D,3.28,3.6,35
7646,2/2/19 5:00,2/1/19 23:00,99.37542,15.50836,253,val. GPS-3D,3.36,3.6,35
7645,2/2/19 3:00,2/1/19 21:00,99.37483,15.508,231,val. GPS-3D,3.28,3.6,36
7644,2/2/19 1:03,2/1/19 19:03,99.37449,15.50795,228,val. GPS-3D,3.28,3.6,24
7643,2/1/19 23:00,2/1/19 17:00,99.37275,15.50649,262,val. GPS-3D,3.28,3.6,22
7642,2/1/19 21:00,2/1/19 15:00,99.37279,15.50645,258,val. GPS-3D,3.28,3.6,23
7641,2/1/19 19:00,2/1/19 13:00,99.37268,15.50639,243,val. GPS-3D,3.28,3.6,25
7640,2/1/19 17:00,2/1/19 11:00,99.37278,15.50643,257,val. GPS-3D,3.28,3.6,26
7639,2/1/19 15:01,2/1/19 9:01,99.37288,15.5064,195,val. GPS-3D,3.28,3.6,26
7638,2/1/19 13:00,2/1/19 7:00,99.37325,15.50669,223,val. GPS-3D,3.28,3.6,27
7637,2/1/19 11:01,2/1/19 5:01,99.37034,15.50736,259,val. GPS-3D,3.28,3.6,29
7636,2/1/19 9:00,2/1/19 3:00,99.36873,15.50772,283,val. GPS-3D,3.28,3.6,33
7635,2/1/19 7:00,2/1/19 1:00,99.36867,15.50769,251,val. GPS-3D,3.36,3.6,34
7634,2/1/19 5:00,1/31/19 23:00,99.36865,15.50793,258,val. GPS-3D,3.28,3.6,36
7633,2/1/19 3:01,1/31/19 21:01,99.36848,15.50797,235,val. GPS-3D,3.28,3.6,32
7631,1/31/19 23:00,1/31/19 17:00,99.35276,15.51136,335,val. GPS-3D,3.36,3.6,23
7630,1/31/19 21:01,1/31/19 15:01,99.35271,15.51134,335,val. GPS-3D,3.28,3.6,26
7629,1/31/19 19:00,1/31/19 13:00,99.3515,15.51002,368,val. GPS-3D,3.28,3.6,26
7628,1/31/19 17:00,1/31/19 11:00,99.35603,15.50358,482,val. GPS-3D,3.28,3.6,27
7627,1/31/19 15:01,1/31/19 9:01,99.35601,15.5035,469,val. GPS-3D,3.28,3.6,28
7621,1/31/19 3:02,1/30/19 21:02,99.35274,15.50818,346,val. GPS-3D,3.28,3.6,30
7620,1/31/19 1:00,1/30/19 19:00,99.35149,15.51001,335,val. GPS-3D,3.28,3.6,23
7619,1/30/19 23:00,1/30/19 17:00,99.35167,15.50987,351,val. GPS-3D,3.28,3.6,24
7618,1/30/19 21:01,1/30/19 15:01,99.35164,15.50979,333,val. GPS-3D,3.28,3.6,25
7616,1/30/19 17:01,1/30/19 11:01,99.35143,15.50992,323,val. GPS-3D,3.28,3.6,23
7615,1/30/19 15:00,1/30/19 9:00,99.35146,15.50996,346,val. GPS-3D,3.28,3.6,25
7614,1/30/19 13:00,1/30/19 7:00,99.35147,15.5099,325,val. GPS-3D,3.28,3.6,26
7613,1/30/19 11:01,1/30/19 5:01,99.35187,15.5092,322,val. GPS-3D,3.28,3.6,31
7612,1/30/19 9:00,1/30/19 3:00,99.35136,15.50995,344,val. GPS-3D,3.28,3.6,32
7611,1/30/19 7:00,1/30/19 1:00,99.35114,15.50958,341,val. GPS-3D,3.28,3.6,33
7610,1/30/19 5:00,1/29/19 23:00,99.35135,15.50956,342,val. GPS-3D,3.28,3.6,33
7609,1/30/19 3:00,1/29/19 21:00,99.35131,15.50965,334,val. GPS-3D,3.28,3.6,31
7608,1/30/19 1:00,1/29/19 19:00,99.35052,15.50914,344,val. GPS-3D,3.28,3.6,22
7607,1/29/19 23:01,1/29/19 17:01,99.34556,15.50628,363,GPS-3D,3.28,3.6,24
7606,1/29/19 21:01,1/29/19 15:01,99.34261,15.50917,454,val. GPS-3D,3.28,3.6,28
7605,1/29/19 19:00,1/29/19 13:00,99.33966,15.51079,607,val. GPS-3D,3.28,3.6,25
7604,1/29/19 17:01,1/29/19 11:01,99.33692,15.51459,722,val. GPS-3D,3.28,3.6,26
7603,1/29/19 15:00,1/29/19 9:00,99.33699,15.51471,732,val. GPS-3D,3.28,3.6,27
7602,1/29/19 13:01,1/29/19 7:01,99.33235,15.51646,759,val. GPS-3D,3.28,3.6,25
7597,1/29/19 3:00,1/28/19 21:00,99.33055,15.518,626,val. GPS-3D,3.28,3.6,27
7596,1/29/19 1:00,1/28/19 19:00,99.32734,15.52068,515,val. GPS-3D,3.28,3.6,27
7595,1/28/19 23:00,1/28/19 17:00,99.32443,15.52331,421,val. GPS-3D,3.28,3.6,24
7594,1/28/19 21:00,1/28/19 15:00,99.32447,15.52331,416,val. GPS-3D,3.28,3.6,26
7593,1/28/19 19:00,1/28/19 13:00,99.32447,15.5233,428,val. GPS-3D,3.28,3.6,25
7592,1/28/19 17:00,1/28/19 11:00,99.32446,15.52328,427,val. GPS-3D,3.28,3.6,25
7591,1/28/19 15:00,1/28/19 9:00,99.32446,15.52332,426,val. GPS-3D,3.36,3.6,26
7590,1/28/19 13:00,1/28/19 7:00,99.32449,15.52332,418,val. GPS-3D,3.28,3.6,29
7589,1/28/19 11:00,1/28/19 5:00,99.32526,15.5231,440,val. GPS-3D,3.28,3.6,29
7584,1/28/19 1:00,1/27/19 19:00,99.3239,15.52348,387,val. GPS-3D,3.28,3.6,26
7583,1/27/19 23:01,1/27/19 17:01,99.32391,15.52396,396,val. GPS-3D,3.28,3.6,26
7579,1/27/19 15:01,1/27/19 9:01,99.32394,15.52386,368,val. GPS-3D,3.28,3.6,30
7578,1/27/19 13:03,1/27/19 7:03,99.32395,15.52401,392,GPS-3D,3.28,3.6,28
7572,1/27/19 1:00,1/26/19 19:00,99.32429,15.52235,393,val. GPS-3D,3.28,3.6,25
7571,1/26/19 23:00,1/26/19 17:00,99.32381,15.52407,389,val. GPS-3D,3.28,3.6,23
7570,1/26/19 21:01,1/26/19 15:01,99.32381,15.52401,376,val. GPS-3D,3.28,3.6,24
7569,1/26/19 19:00,1/26/19 13:00,99.32381,15.52404,386,val. GPS-3D,3.28,3.6,27
7568,1/26/19 17:00,1/26/19 11:00,99.32379,15.52404,392,val. GPS-3D,3.28,3.6,24
7567,1/26/19 15:00,1/26/19 9:00,99.32374,15.52404,372,val. GPS-3D,3.28,3.6,28
7566,1/26/19 13:00,1/26/19 7:00,99.32168,15.52722,306,val. GPS-3D,3.28,3.6,28
7560,1/26/19 1:00,1/25/19 19:00,99.32178,15.52747,320,val. GPS-3D,3.28,3.6,27
7559,1/25/19 23:00,1/25/19 17:00,99.32157,15.52706,280,val. GPS-3D,3.28,3.6,26
7558,1/25/19 21:00,1/25/19 15:00,99.32166,15.52729,333,val. GPS-3D,3.28,3.6,23
7557,1/25/19 19:00,1/25/19 13:00,99.32179,15.52724,308,val. GPS-3D,3.28,3.6,26
7556,1/25/19 17:02,1/25/19 11:02,99.3217,15.52723,313,val. GPS-3D,3.28,3.6,26
7555,1/25/19 15:00,1/25/19 9:00,99.32167,15.52718,294,val. GPS-3D,3.28,3.6,27
7554,1/25/19 13:00,1/25/19 7:00,99.32181,15.52631,364,val. GPS-3D,3.36,3.6,29
7549,1/25/19 3:02,1/24/19 21:02,99.31905,15.53267,266,val. GPS-3D,3.28,3.6,29
7548,1/25/19 1:01,1/24/19 19:01,99.31907,15.53267,266,val. GPS-3D,3.28,3.6,22
7547,1/24/19 23:01,1/24/19 17:01,99.31911,15.53258,279,val. GPS-3D,3.28,3.6,20
7546,1/24/19 21:00,1/24/19 15:00,99.31899,15.53282,236,val. GPS-3D,3.28,3.6,22
7545,1/24/19 19:00,1/24/19 13:00,99.31903,15.53263,283,val. GPS-3D,3.28,3.6,22
7544,1/24/19 17:01,1/24/19 11:01,99.3194,15.53223,271,val. GPS-3D,3.28,3.6,25
7543,1/24/19 15:00,1/24/19 9:00,99.32402,15.52672,344,val. GPS-3D,3.36,3.6,26
7542,1/24/19 13:00,1/24/19 7:00,99.3239,15.52668,357,val. GPS-3D,3.28,3.6,28
7541,1/24/19 11:00,1/24/19 5:00,99.32401,15.52672,350,val. GPS-3D,3.28,3.6,29
7537,1/24/19 3:00,1/23/19 21:00,99.31995,15.5277,312,val. GPS-3D,3.28,3.6,27
7536,1/24/19 1:00,1/23/19 19:00,99.31998,15.52782,306,val. GPS-3D,3.28,3.6,23
7535,1/23/19 23:00,1/23/19 17:00,99.31992,15.52772,297,val. GPS-3D,3.28,3.6,22
7534,1/23/19 21:00,1/23/19 15:00,99.32119,15.52608,329,val. GPS-3D,3.28,3.6,23
7533,1/23/19 19:00,1/23/19 13:00,99.32254,15.52624,355,val. GPS-3D,3.28,3.6,29
7532,1/23/19 17:00,1/23/19 11:00,99.32255,15.52629,363,val. GPS-3D,3.28,3.6,27
7531,1/23/19 15:00,1/23/19 9:00,99.32259,15.52629,363,val. GPS-3D,3.28,3.6,26
7530,1/23/19 13:00,1/23/19 7:00,99.3234,15.5265,355,val. GPS-3D,3.28,3.6,26
7525,1/23/19 3:03,1/22/19 21:03,99.3254,15.52416,457,GPS-3D,3.28,3.6,28
7523,1/22/19 23:00,1/22/19 17:00,99.32507,15.52307,451,val. GPS-3D,3.28,3.6,27
7522,1/22/19 21:00,1/22/19 15:00,99.32517,15.5231,447,val. GPS-3D,3.28,3.6,27
7521,1/22/19 19:02,1/22/19 13:02,99.32518,15.52313,414,val. GPS-3D,3.28,3.6,26
7519,1/22/19 15:03,1/22/19 9:03,99.32523,15.52314,424,GPS-3D,3.28,3.6,35
7511,1/21/19 23:00,1/21/19 17:00,99.32512,15.51855,550,val. GPS-3D,3.28,3.6,32
7510,1/21/19 21:00,1/21/19 15:00,99.32512,15.51854,559,val. GPS-3D,3.28,3.6,29
7509,1/21/19 19:00,1/21/19 13:00,99.32516,15.51854,559,val. GPS-3D,3.28,3.6,29
7508,1/21/19 17:00,1/21/19 11:00,99.32518,15.51855,556,val. GPS-3D,3.28,3.6,28
7507,1/21/19 15:00,1/21/19 9:00,99.32516,15.51849,556,val. GPS-3D,3.28,3.6,30
7506,1/21/19 13:00,1/21/19 7:00,99.32517,15.51857,556,val. GPS-3D,3.28,3.6,31
7499,1/20/19 23:00,1/20/19 17:00,99.31899,15.51643,413,val. GPS-3D,3.28,3.6,28
7498,1/20/19 21:01,1/20/19 15:01,99.3191,15.51644,401,val. GPS-3D,3.28,3.6,29
7497,1/20/19 19:00,1/20/19 13:00,99.31915,15.51642,380,val. GPS-3D,3.28,3.6,29
7496,1/20/19 17:00,1/20/19 11:00,99.31904,15.51652,421,val. GPS-3D,3.28,3.6,35
7495,1/20/19 15:00,1/20/19 9:00,99.31907,15.51643,400,val. GPS-3D,3.28,3.6,29
7494,1/20/19 13:01,1/20/19 7:01,99.31912,15.51643,399,val. GPS-3D,3.28,3.6,30
7489,1/20/19 3:03,1/19/19 21:03,99.31208,15.51709,280,GPS-3D,3.28,3.6,28
7488,1/20/19 1:00,1/19/19 19:00,99.30664,15.52082,266,val. GPS-3D,3.28,3.6,26
7487,1/19/19 23:00,1/19/19 17:00,99.30661,15.52078,272,val. GPS-3D,3.28,3.6,22
7486,1/19/19 21:01,1/19/19 15:01,99.30858,15.52035,289,val. GPS-3D,3.28,3.6,27
7483,1/19/19 15:00,1/19/19 9:00,99.31923,15.51584,389,val. GPS-3D,3.28,3.6,28
7482,1/19/19 13:01,1/19/19 7:01,99.31924,15.51588,407,val. GPS-3D,3.28,3.6,30
7455,1/17/19 7:01,1/17/19 1:01,99.30555,15.52265,262,val. GPS-3D,3.28,3.6,31
7452,1/17/19 1:00,1/16/19 19:00,99.30709,15.529,271,val. GPS-3D,3.28,3.6,27
7451,1/16/19 23:00,1/16/19 17:00,99.30721,15.52889,276,val. GPS-3D,3.28,3.6,27
7450,1/16/19 21:00,1/16/19 15:00,99.30691,15.52929,237,val. GPS-3D,3.28,3.6,30
7449,1/16/19 19:01,1/16/19 13:01,99.30724,15.52904,239,val. GPS-3D,3.28,3.6,31
7448,1/16/19 17:01,1/16/19 11:01,99.3072,15.52902,248,val. GPS-3D,3.28,3.6,28
7447,1/16/19 15:00,1/16/19 9:00,99.30716,15.5288,209,val. GPS-3D,3.28,3.6,30
7446,1/16/19 13:00,1/16/19 7:00,99.30718,15.5288,270,val. GPS-3D,3.28,3.6,31
7445,1/16/19 11:00,1/16/19 5:00,99.30812,15.52853,277,val. GPS-3D,3.28,3.6,31
7444,1/16/19 9:00,1/16/19 3:00,99.30673,15.52802,257,val. GPS-3D,3.28,3.6,34
7443,1/16/19 7:00,1/16/19 1:00,99.30675,15.52796,281,val. GPS-3D,3.28,3.6,35
7442,1/16/19 5:01,1/15/19 23:01,99.30718,15.52909,267,val. GPS-3D,3.28,3.6,35
7441,1/16/19 3:00,1/15/19 21:00,99.3072,15.52906,292,val. GPS-3D,3.28,3.6,29
7440,1/16/19 1:01,1/15/19 19:01,99.30709,15.52904,234,val. GPS-3D,3.28,3.6,29
7439,1/15/19 23:02,1/15/19 17:02,99.30706,15.52907,243,val. GPS-3D,3.28,3.6,28
7438,1/15/19 21:00,1/15/19 15:00,99.30734,15.5291,298,val. GPS-3D,3.28,3.6,28
7437,1/15/19 19:01,1/15/19 13:01,99.3071,15.52903,320,val. GPS-3D,3.28,3.6,28
7436,1/15/19 17:00,1/15/19 11:00,99.30709,15.52903,259,val. GPS-3D,3.28,3.6,29
7435,1/15/19 15:00,1/15/19 9:00,99.30709,15.52893,260,val. GPS-3D,3.28,3.6,25
7434,1/15/19 13:00,1/15/19 7:00,99.30731,15.52906,264,val. GPS-3D,3.28,3.6,29
7433,1/15/19 11:01,1/15/19 5:01,99.30714,15.52904,256,val. GPS-3D,3.28,3.6,28
7432,1/15/19 9:00,1/15/19 3:00,99.30818,15.52774,267,val. GPS-3D,3.28,3.6,31
7431,1/15/19 7:01,1/15/19 1:01,99.30673,15.52799,294,val. GPS-3D,3.28,3.6,33
7430,1/15/19 5:00,1/14/19 23:00,99.30778,15.53227,188,val. GPS-3D,3.28,3.6,31
7429,1/15/19 3:01,1/14/19 21:01,99.30796,15.53221,255,val. GPS-3D,3.28,3.6,32
7428,1/15/19 1:00,1/14/19 19:00,99.30639,15.5353,252,val. GPS-3D,3.28,3.52,27
7427,1/14/19 23:01,1/14/19 17:01,99.30731,15.54454,231,val. GPS-3D,3.28,3.6,26
7426,1/14/19 21:00,1/14/19 15:00,99.30715,15.54456,246,val. GPS-3D,3.36,3.6,27
7425,1/14/19 19:00,1/14/19 13:00,99.30733,15.54454,230,val. GPS-3D,3.28,3.6,28
7424,1/14/19 17:01,1/14/19 11:01,99.31258,15.55268,225,val. GPS-3D,3.28,3.6,29
7423,1/14/19 15:00,1/14/19 9:00,99.31249,15.55232,195,val. GPS-3D,3.36,3.6,28
7422,1/14/19 13:00,1/14/19 7:00,99.31241,15.55239,242,val. GPS-3D,3.28,3.6,29
7421,1/14/19 11:01,1/14/19 5:01,99.31221,15.55248,222,val. GPS-3D,3.28,3.6,31
7420,1/14/19 9:02,1/14/19 3:02,99.31413,15.55047,231,val. GPS-3D,3.28,3.6,30
7419,1/14/19 7:01,1/14/19 1:01,99.31366,15.55081,231,val. GPS-3D,3.28,3.6,33
7418,1/14/19 5:00,1/13/19 23:00,99.31402,15.55082,225,val. GPS-3D,3.28,3.6,33
7417,1/14/19 3:00,1/13/19 21:00,99.31458,15.55136,212,val. GPS-3D,3.28,3.6,31
7416,1/14/19 1:00,1/13/19 19:00,99.3094,15.55025,220,val. GPS-3D,3.28,3.6,27
7415,1/13/19 23:00,1/13/19 17:00,99.3092,15.55062,236,val. GPS-3D,3.28,3.6,23
7414,1/13/19 21:00,1/13/19 15:00,99.30908,15.55077,222,val. GPS-3D,3.28,3.6,25
7413,1/13/19 19:01,1/13/19 13:01,99.30929,15.54916,235,val. GPS-3D,3.28,3.6,27
7412,1/13/19 17:01,1/13/19 11:01,99.30649,15.54868,262,val. GPS-3D,3.28,3.6,26
7411,1/13/19 15:00,1/13/19 9:00,99.30789,15.54863,254,val. GPS-3D,3.28,3.6,27
7410,1/13/19 13:00,1/13/19 7:00,99.31179,15.55157,225,val. GPS-3D,3.28,3.6,27
7409,1/13/19 11:00,1/13/19 5:00,99.31184,15.55152,230,val. GPS-3D,3.28,3.6,30
7408,1/13/19 9:00,1/13/19 3:00,99.3114,15.5503,247,val. GPS-3D,3.28,3.6,33
7407,1/13/19 7:01,1/13/19 1:01,99.31196,15.54999,227,val. GPS-3D,3.28,3.6,36
7405,1/13/19 3:00,1/12/19 21:00,99.31563,15.55353,229,val. GPS-3D,3.28,3.6,31
7404,1/13/19 1:02,1/12/19 19:02,99.3136,15.55189,223,val. GPS-3D,3.28,3.6,26
7402,1/12/19 21:00,1/12/19 15:00,99.3162,15.55354,204,val. GPS-3D,3.28,3.6,25
7401,1/12/19 19:00,1/12/19 13:00,99.31767,15.56256,205,val. GPS-3D,3.28,3.6,26
7400,1/12/19 17:01,1/12/19 11:01,99.31994,15.56237,197,val. GPS-3D,3.28,3.6,27
7398,1/12/19 13:00,1/12/19 7:00,99.34261,15.5722,235,val. GPS-3D,3.28,3.6,28
7396,1/12/19 9:01,1/12/19 3:01,99.33,15.56468,212,val. GPS-3D,3.28,3.6,32
7395,1/12/19 7:01,1/12/19 1:01,99.32908,15.56554,197,val. GPS-3D,3.28,3.6,34
7394,1/12/19 5:00,1/11/19 23:00,99.32799,15.56385,215,val. GPS-3D,3.28,3.6,33
7393,1/12/19 3:00,1/11/19 21:00,99.33879,15.55357,311,val. GPS-3D,3.28,3.6,30
7392,1/12/19 1:01,1/11/19 19:01,99.33548,15.54622,266,val. GPS-3D,3.28,3.6,27
7391,1/11/19 23:00,1/11/19 17:00,99.33608,15.54539,281,val. GPS-3D,3.28,3.6,26
7390,1/11/19 21:00,1/11/19 15:00,99.3361,15.54535,282,val. GPS-3D,3.36,3.6,26
7389,1/11/19 19:00,1/11/19 13:00,99.33614,15.54537,245,val. GPS-3D,3.28,3.6,25
7388,1/11/19 17:01,1/11/19 11:01,99.3357,15.54151,257,val. GPS-3D,3.28,3.6,27
7387,1/11/19 15:00,1/11/19 9:00,99.33564,15.54098,227,val. GPS-3D,3.28,3.6,27
7386,1/11/19 13:00,1/11/19 7:00,99.33572,15.54104,243,val. GPS-3D,3.28,3.6,28
7385,1/11/19 11:00,1/11/19 5:00,99.33757,15.54579,309,val. GPS-3D,3.28,3.6,31
7384,1/11/19 9:00,1/11/19 3:00,99.33634,15.54579,270,val. GPS-3D,3.28,3.6,33
7383,1/11/19 7:01,1/11/19 1:01,99.34444,15.55395,300,val. GPS-3D,3.28,3.6,34
7382,1/11/19 5:00,1/10/19 23:00,99.35051,15.55442,286,val. GPS-3D,3.28,3.6,33
7380,1/11/19 1:01,1/10/19 19:01,99.34648,15.56112,225,val. GPS-3D,3.28,3.6,27
7379,1/10/19 23:00,1/10/19 17:00,99.32704,15.56075,224,val. GPS-3D,3.28,3.6,26
7378,1/10/19 21:00,1/10/19 15:00,99.32417,15.55942,208,val. GPS-3D,3.28,3.6,26
7377,1/10/19 19:00,1/10/19 13:00,99.32409,15.55294,241,val. GPS-3D,3.28,3.6,29
7376,1/10/19 17:00,1/10/19 11:00,99.32412,15.55301,221,val. GPS-3D,3.28,3.6,27
7375,1/10/19 15:00,1/10/19 9:00,99.33709,15.54884,296,val. GPS-3D,3.28,3.6,27
7374,1/10/19 13:00,1/10/19 7:00,99.33718,15.54871,357,val. GPS-3D,3.28,3.6,29
7373,1/10/19 11:00,1/10/19 5:00,99.34353,15.55872,232,val. GPS-3D,3.28,3.6,29
7372,1/10/19 9:00,1/10/19 3:00,99.35199,15.55675,238,val. GPS-3D,3.36,3.6,32
7370,1/10/19 5:00,1/9/19 23:00,99.34088,15.56063,213,val. GPS-3D,3.28,3.6,34
7369,1/10/19 3:01,1/9/19 21:01,99.34268,15.56606,262,val. GPS-3D,3.28,3.6,29
7368,1/10/19 1:01,1/9/19 19:01,99.34527,15.55527,299,val. GPS-3D,3.28,3.6,26
7367,1/9/19 23:00,1/9/19 17:00,99.32878,15.55217,225,val. GPS-3D,3.28,3.6,26
7366,1/9/19 21:00,1/9/19 15:00,99.32867,15.55217,225,val. GPS-3D,3.28,3.6,26
7365,1/9/19 19:00,1/9/19 13:00,99.32866,15.55229,246,val. GPS-3D,3.28,3.6,26
7364,1/9/19 17:01,1/9/19 11:01,99.32863,15.5522,215,val. GPS-3D,3.28,3.6,28
7363,1/9/19 15:00,1/9/19 9:00,99.32896,15.55204,233,val. GPS-3D,3.28,3.6,28
7362,1/9/19 13:00,1/9/19 7:00,99.32868,15.55222,219,val. GPS-3D,3.28,3.6,28
7360,1/9/19 9:00,1/9/19 3:00,99.328,15.54869,228,val. GPS-3D,3.28,3.6,32
7359,1/9/19 7:00,1/9/19 1:00,99.32789,15.54852,246,val. GPS-3D,3.28,3.6,32
7358,1/9/19 5:00,1/8/19 23:00,99.32878,15.54784,233,val. GPS-3D,3.28,3.6,32
7357,1/9/19 3:02,1/8/19 21:02,99.32897,15.55205,236,val. GPS-3D,3.28,3.6,27
7354,1/8/19 21:00,1/8/19 15:00,99.34011,15.55521,263,val. GPS-3D,3.28,3.6,26
7353,1/8/19 19:00,1/8/19 13:00,99.34003,15.555,255,val. GPS-3D,3.28,3.6,26
7352,1/8/19 17:00,1/8/19 11:00,99.33559,15.55748,233,val. GPS-3D,3.28,3.6,26
7351,1/8/19 15:00,1/8/19 9:00,99.33722,15.55704,229,val. GPS-3D,3.28,3.52,27
7350,1/8/19 13:00,1/8/19 7:00,99.33489,15.55877,206,val. GPS-3D,3.28,3.6,27
7349,1/8/19 11:00,1/8/19 5:00,99.33805,15.5586,174,val. GPS-3D,3.28,3.6,27
7348,1/8/19 9:02,1/8/19 3:02,99.33777,15.55466,241,val. GPS-3D,3.28,3.6,32
7347,1/8/19 7:00,1/8/19 1:00,99.34035,15.55543,270,val. GPS-3D,3.28,3.6,34
7346,1/8/19 5:01,1/7/19 23:01,99.33564,15.54777,268,val. GPS-3D,3.28,3.6,31
7345,1/8/19 3:02,1/7/19 21:02,99.32853,15.55092,245,GPS-3D,3.28,3.6,29
7343,1/7/19 23:00,1/7/19 17:00,99.31673,15.54705,234,val. GPS-3D,3.28,3.6,26
7342,1/7/19 21:00,1/7/19 15:00,99.3168,15.54704,250,val. GPS-3D,3.28,3.6,26
7341,1/7/19 19:00,1/7/19 13:00,99.31122,15.54397,249,val. GPS-3D,3.28,3.6,28
7340,1/7/19 17:00,1/7/19 11:00,99.31032,15.55208,226,val. GPS-3D,3.28,3.6,26
7339,1/7/19 15:00,1/7/19 9:00,99.30332,15.56795,234,val. GPS-3D,3.28,3.6,27
7338,1/7/19 13:00,1/7/19 7:00,99.30331,15.56788,238,val. GPS-3D,3.28,3.6,26
7337,1/7/19 11:00,1/7/19 5:00,99.30842,15.56985,217,val. GPS-3D,3.28,3.6,30
7336,1/7/19 9:01,1/7/19 3:01,99.32295,15.5578,216,val. GPS-3D,3.28,3.6,32
7335,1/7/19 7:00,1/7/19 1:00,99.32428,15.55321,198,val. GPS-3D,3.28,3.6,30
7334,1/7/19 5:01,1/6/19 23:01,99.32528,15.55659,228,val. GPS-3D,3.28,3.6,31
7333,1/7/19 3:00,1/6/19 21:00,99.32297,15.55677,223,val. GPS-3D,3.28,3.6,29
7332,1/7/19 1:00,1/6/19 19:00,99.30406,15.54371,218,val. GPS-3D,3.28,3.52,26
7331,1/6/19 23:01,1/6/19 17:01,99.29701,15.5364,224,val. GPS-3D,3.28,3.6,24
7330,1/6/19 21:03,1/6/19 15:03,99.30083,15.5361,253,GPS-3D,3.28,3.52,30
7328,1/6/19 17:00,1/6/19 11:00,99.30073,15.536,242,val. GPS-3D,3.28,3.6,27
7327,1/6/19 15:00,1/6/19 9:00,99.30084,15.53608,259,val. GPS-3D,3.28,3.6,27
7326,1/6/19 13:00,1/6/19 7:00,99.30064,15.53615,239,val. GPS-3D,3.28,3.6,29
7325,1/6/19 11:00,1/6/19 5:00,99.29958,15.5373,240,val. GPS-3D,3.28,3.6,30
7324,1/6/19 9:03,1/6/19 3:03,99.29929,15.53737,247,GPS-3D,3.28,3.6,30
7323,1/6/19 7:00,1/6/19 1:00,99.29969,15.53737,286,val. GPS-3D,3.28,3.6,28
7322,1/6/19 5:02,1/5/19 23:02,99.32096,15.55099,256,val. GPS-3D,3.28,3.6,29
7321,1/6/19 3:03,1/5/19 21:03,99.32005,15.54849,243,GPS-3D,3.28,3.52,25
7320,1/6/19 1:00,1/5/19 19:00,99.3146,15.5428,252,val. GPS-3D,3.28,3.52,26
7319,1/5/19 23:01,1/5/19 17:01,99.2996,15.53723,227,val. GPS-3D,3.28,3.6,27
7318,1/5/19 21:00,1/5/19 15:00,99.29911,15.53758,259,val. GPS-3D,3.28,3.6,27
7317,1/5/19 19:00,1/5/19 13:00,99.29926,15.53736,244,val. GPS-3D,3.28,3.6,27
7315,1/5/19 15:00,1/5/19 9:00,99.3024,15.54259,269,val. GPS-3D,3.28,3.6,28
7314,1/5/19 13:00,1/5/19 7:00,99.30222,15.54255,222,val. GPS-3D,3.28,3.6,27
7313,1/5/19 11:00,1/5/19 5:00,99.29763,15.53695,244,val. GPS-3D,3.28,3.6,28
7312,1/5/19 9:01,1/5/19 3:01,99.29957,15.53736,235,val. GPS-3D,3.28,3.6,29
7311,1/5/19 7:00,1/5/19 1:00,99.29941,15.53718,197,val. GPS-3D,3.28,3.6,30
7310,1/5/19 5:01,1/4/19 23:01,99.29895,15.53746,240,val. GPS-3D,3.28,3.6,31
7309,1/5/19 3:00,1/4/19 21:00,99.29878,15.5374,249,val. GPS-3D,3.28,3.6,27
7307,1/4/19 23:00,1/4/19 17:00,99.298,15.54096,258,val. GPS-3D,3.28,3.6,25
7306,1/4/19 21:00,1/4/19 15:00,99.29633,15.54309,239,val. GPS-3D,3.28,3.6,24
7305,1/4/19 19:00,1/4/19 13:00,99.29642,15.5431,266,val. GPS-3D,3.28,3.6,26
7304,1/4/19 17:01,1/4/19 11:01,99.28897,15.53251,240,val. GPS-3D,3.28,3.52,25
7303,1/4/19 15:00,1/4/19 9:00,99.29391,15.54026,215,val. GPS-3D,3.28,3.52,25
7302,1/4/19 13:00,1/4/19 7:00,99.31108,15.52742,295,val. GPS-3D,3.28,3.6,28
7300,1/4/19 9:01,1/4/19 3:01,99.31115,15.5279,290,val. GPS-3D,3.28,3.6,31
7299,1/4/19 7:00,1/4/19 1:00,99.30968,15.52807,304,val. GPS-3D,3.28,3.6,30
7298,1/4/19 5:00,1/3/19 23:00,99.31123,15.53057,264,val. GPS-3D,3.28,3.52,31
